NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Torrey Craig,SF,21,23.6,7.6,3,6.2,47.3,1.2,3.2,38.2,0.5,0.6,76.9,5,1.4,0.6,0.8,0.7,1,0,13.7
Aaron Nesmith,SF,20,21.5,7.6,2.6,6.9,37.2,1.4,4,34.2,1.2,1.4,82.1,3.2,1.3,0.8,0.5,1,0,0,8.45
Isaiah Jackson,SF,23,16.5,7.5,2.7,5,55.3,0,0.2,25,2,2.8,70.3,4.4,1,0.5,1.3,1,2,0,17.57
Will Barton,SF,24,22.1,7.4,2.7,7.5,35.9,1.1,3.4,31.7,0.9,1,87.5,3.1,2.5,0.6,0.3,1,0,0,9.17
Josh Green,SG,23,20.2,7.2,2.4,4,60.2,1,2.3,46.2,1.3,1.9,69.8,2.3,1.2,1,0,0.7,0,0,15.06
Deni Avdija,SF,24,23.6,7.2,2.7,6.8,39.3,0.8,2.8,26.5,1.1,1.5,75,5,2.3,0.7,0.7,1.4,2,0,9.43
Talen Horton-Tucker,SG,25,16.8,7.2,2.7,6.9,39,0.7,2.8,25.4,1.1,1.5,73.7,2.6,2.5,0.8,0.4,1.4,1,0,11.49
Edmond Sumner,PG,20,15.3,7.2,2.5,5.6,43.8,0.6,2.2,27.3,1.7,1.8,91.7,1.3,1.2,1,0.3,1.1,0,0,13.01
Sam Hauser,SF,25,16.7,7.1,2.4,4.8,50.4,2,4.2,46.2,0.3,0.4,77.8,2.4,0.8,0.2,0.3,0.3,0,0,14.84
Jordan Nwora,SF,21,19,7,2.3,6.4,36.6,1.2,3.3,37.7,1.1,1.4,82.8,3.6,1.1,0.3,0.1,1,0,0,9.72
Terence Davis,SG,20,13.2,7,2.5,5.6,43.8,1.4,3.6,39.4,0.7,0.8,87.5,3,1.5,0.8,0.2,0.8,0,0,17.03
Dewayne Dedmon,C,20,12.2,6.9,2.6,4.8,54.2,0.5,1.3,34.6,1.3,1.7,75.8,3.6,0.6,0.2,0.4,0.7,0,0,19.3
